layout,circle,opt_theory,opt_mean,opt_se
no_trap_layout,True,6.903710167570824,6.983,0.10670853292965846
no_trap_layout,False,6.3050240867655845,6.236,0.09620968766189818
few_traps_layout,True,7.634077005709198,7.612,0.12096055555427976
few_traps_layout,False,7.062573406729825,7.067,0.08347760777597787
many_traps_layout,True,16.33319802273453,16.252,0.16584479491379883
many_traps_layout,False,16.33319802273453,16.61,0.16676300548982678
two_in_a_row_layout,True,7.042127717760933,6.977,0.07748852173064086
two_in_a_row_layout,False,6.445294223827659,6.36,0.07030220480184105
evil_fast_lane_layout,True,7.036861245137453,7.016,0.10683512530998407
evil_fast_lane_layout,False,6.440472514572656,6.455,0.08235274737372154
back_to_3_layout,True,8.509269247578487,8.69,0.12839742988081965
back_to_3_layout,False,7.887853596038295,7.722,0.12425262975084271
